,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
1839,1839,12,Assembly Line Worker,2012-09-11,Former Employee,"Dayton, OH","come in, get on a line, try to meet quota or stay until you do, then go home",Not a stable work field,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,76,Positive
1838,1838,11,Receptionist,2012-09-15,Former Employee,"Bentonville, AR","a typical work day for me was just answering phones, i learned that sometimes a workplace is only that a workplace there is no room for errors, the management sales wise and service wise was fantastic, my co-workers were fun to be around and to learn from, the hardest part of my job was to accept the fact that i was released from a job i loved for no reason, i was told one thing but it turned out to be a false statement, and the most enjoyable part of my job was the salespeople and the sales managers they were always very polite and made my job more enjoyable","Workplace was fun, but those working there are incapable of performing their jobs correctly",0.9475,0.774,0.042,0.184,Positive,1.0,0.34102564102564104,0.6384615384615384,565,Positive
1837,1837,10,Assembly Line Worker,2012-09-17,Current Employee,"Sterling Heights, MI","at pm the line starts rolling whether you are there or not the line only stops moving for breaks, lunch and the end of the work day it is extremely hot in the plant the work is repetitive and causes a lot of wear and tear on the body typically you are work days a week at or / hours a day you work just as hard as the machines then there is the ever present threat of discipline if you make a mistake but with the sweltering heat, the long hours and long work week mistakes are bound to happen",It's a job,-0.7992,0.89,0.11,0.0,Neutral,-1.0,-0.06979166666666668,0.4927083333333333,493,Positive
1836,1836,9,Program Coordinator for Interior Engineering,2012-09-17,Current Employee,"Auburn Hills, MI","flexible work hours, very accomodating ability to work from home",Great company,0.539,0.641,0.0,0.359,Positive,1.0,0.2,0.3,64,Positive
1835,1835,8,Follow-Up Analyst ( Summer Intern),2012-09-17,Former Employee,"Center Line, MI","learned alot, great for college student looking for an internship",Great learning experience,0.6249,0.687,0.0,0.313,Positive,1.0,0.8,0.75,65,Positive
1834,1834,7,Building Services Supervisor,2012-09-18,Former Employee,"Milwaukee, WI",directed a st and nd shift janitorial and waste management crew of in an automotive warehouse,fast paced environment,-0.4215,0.833,0.167,0.0,Neutral,-1.0,-0.2,0.0,93,Positive
1833,1833,6,Valet,2012-09-20,Former Employee,"Kennett Square, PA","i typical day would be cleaning the lot and mowing the lawn when cars came in for service i would pull them in to a mechanic's work station the management was non existent, i didn't lean anything new and my co-workers were rude",unorganized work place,-0.4588,0.927,0.073,0.0,Neutral,-1.0,-0.1101010101010101,0.5181818181818182,227,Neutral
1832,1832,5,Assembly Line Worker,2012-09-23,Former Employee,"Perrysburg, OH",work on asseembly line learned to build and repair steering columns supervisor were very professional the people were very nice hardest part lifting the torque converters i joined women's committee had fun lot of outdoor activities,Exceptional place to work,0.7501,0.838,0.0,0.162,Positive,1.0,0.4033333333333333,0.4433333333333333,231,Positive
1830,1830,3,Assembly Worker,2012-09-26,Former Employee,"Belvidere, IL","i worked on an assembly line typically you worked on the line and you would start off at a work station and every two hours you would switch to a different work station i learned a great deal about how cars are made and the process it takes to make a car there was a variety of management style at play hardest part of the job was to do a work station that maybe didn't suit you but, due to the requirement of switching you were required to do some jobs were more difficult for someone who was tall vs someone who is short mo",Clean atmosphere. Great pay,-0.1128,0.922,0.036,0.042,Positive,-1.0,0.07261904761904761,0.5750000000000001,525,Negative
1831,1831,4,Production/Assembly Worker,2012-09-26,Former Employee,"Kokomo, IN","the days were filled with excitment with the rotation system i learned alot about automobiles, management was real tight they stay on their jobs so that we could be a productive company, co-workers were great it was a joy working with them the hardest part sometimes was actually leaving the place most enjoyable was the pay at the end of the day",productive with excellent pay and benefits,0.8932,0.815,0.021,0.164,Positive,1.0,0.3903061224489796,0.4969387755102041,346,Positive
1829,1829,2,Manufacturing Engineering Manager,2012-09-27,Former Employee,Chrysler Twinsburg Stamping Plant,"chrysler twinsburg stamping plant was a good place to work especially because of the people the only reason i left was because the plant was closed, and to remain with chrysler it required relocating to detroit, mi",Productive and rewarding,0.4404,0.921,0.0,0.079,Positive,1.0,0.12,0.54,214,Positive
1828,1828,1,Purchasing Commodity Manager,2012-09-28,Former Employee,"Auburn Hills, MI",i had a very good experience working at chryslerit was a very competitive place and the people were trying to prove that they could produce a good car,Good,0.8115,0.715,0.0,0.285,Positive,1.0,0.6033333333333333,0.56,150,Positive
1826,1826,20,General Manager,2012-10-01,Former Employee,"Brooklyn, NY",i improved the business by upgrading the fleet & enjoyed managing the luxury business,Enjoyed the work I did,0.7506,0.61,0.0,0.39,Positive,1.0,0.5,0.7,85,Positive
1825,1825,19,Auto Worker,2012-10-02,Former Employee,"Fenton, MO","i spent years at chrysler corporation in st louis, mo and i worked under some hard conditions but ended up in a good job that i like my last years",Vast diversed group of people and jobs.,0.7845,0.735,0.038,0.227,Positive,1.0,0.07708333333333331,0.32708333333333334,146,Positive
1823,1823,17,Door Fitter/ Repair man,2012-10-03,Former Employee,"Detroit, MI","there's always something to do, so many jobs, both physically hard and easy",Busy workplace,0.3612,0.719,0.092,0.19,Positive,1.0,0.21388888888888888,0.625,75,Neutral
1824,1824,18,NVH Data Acquisition Engineer,2012-10-03,Former Employee,"Auburn Hills, MI",people are wonderfulworking for the automakers is like riding the roller-coaster at cedar pointe,Beautiful,0.3612,0.839,0.0,0.161,Positive,1.0,0.0,0.0,96,Positive
1822,1822,16,Assembly Line Supervisor,2012-10-08,Former Employee,"Belvidere, IL",a typical day was making sure that all personnel () was present to start the shift on the assembly line and then managing the daily assembly operations to make sure that they were performed rightstarting out at age being an assemblyline supervisor managing people was probably the most challenging job i ever hadmanagement was very intense and number driven along with getting the job done right sometimes very verbally abusive in front of my sub-ordinatesall other supervisors were sympathetic to the stress and pressure applied to the assembly line supervisors and became dependant on each other the hardest part of my job was covering over / mile of assembly line to make sure all jobs were being performed properlythe most enjoyable part of my job was developing relationships with the assembly line workers and gaining their trust and respect,Had the priviledge to be one of the first people in starting up a new plant.,0.9345,0.767,0.06,0.174,Positive,1.0,0.2705654761904762,0.5845238095238094,847,Negative
1821,1821,15,Jeep Brand Marketing Intern,2012-10-09,Former Employee,"Auburn Hills, MI",i really enjoyed interning for chrysler and the jeep brand this summer i had access to senior leaders and learned a lot about strategy and how a great brand becomes even more successful,Great place to work and grow,0.915,0.688,0.0,0.312,Positive,1.0,0.6375,0.725,185,Positive
1820,1820,14,Joint Local & Technical Training Facilitator,2012-10-09,Former Employee,"Kokomo, IN","a typical day at chrysler started by assessing the machines in my work area, once i knew the state of the machines was good, i would begin production quality control and maintenance were a vital part of the daily routine too each day was different if the machines were running well the productivity was good if the machines were breaking down then the overall production depended on the availability of maintenance & parts to get the machines running my co-workers were usually very competent and knowledgeable, as well as likeable, most had great work ethic the hardest part of the job was never knowing when a machine would break down or how long it could be to get it up and running if the machines ran well, most jobs were easy and production targets were easily achieved when the machines were down the job was always harder and management was looking to you (the operator) for answers the most enjoyable part of the job was knowing that i was producing quality parts and the friends i made","Manufacturing facility that was unpredictable, sometimes challenging, but mostly enjoyable to work at.",0.9863,0.812,0.0,0.188,Positive,1.0,0.25166666666666665,0.46749999999999997,995,Negative
1818,1818,12,Production and Maintenance Area Manager Dept 7800,2012-10-13,Former Employee,"Kokomo, IN",my experience with chrysler was very important to me in helping to raise my family everyday was always a challenge in order to be successfull in achieving our daily goals i learned that working with other managers was very essential in working together the hardest part of the job laying off people that were very good at their jobs the most enjoyable part of the job was getting a tough job to run properly,This is my review.,0.8583,0.828,0.019,0.153,Positive,1.0,0.1716111111111111,0.5178333333333333,407,Positive
1819,1819,13,Assembly Technician,2012-10-13,Former Employee,"Detroit, MI","great place to work but has many cons this place makes you live above the law suggesting missing court dates, ignoring unplanned emergencies like auto accidents, and car hijackings benefits and pay amazing, but cone in with a clean slate court, hospital visits, and all that go out th window / ur i there time","great workplace for a career, but too easy to lose your job during ur first 120",0.8422,0.598,0.152,0.25,Positive,1.0,0.31471861471861473,0.5000000000000001,309,Positive
1817,1817,11,Area Manager,2012-10-14,Former Employee,"Kokomo, IN","i spent years with the company at various levels of management and realized that no matter what you did or gave, it did not seem to be enough recently there was no consideration for balance of work and family life this was the reason for a career change for me",Very demanding and rewarding job.,-0.5106,0.891,0.087,0.022,Positive,-1.0,-0.025,0.3375,260,Positive
1816,1816,10,Area Manager,2012-10-14,Former Employee,"Kokomo, IN",really enjoyed this position because it was direct interaction with the operators and tradesmen that were working on the floor,Excellent way to learn your area and your team by daily interaction on the floor,0.5563,0.841,0.0,0.159,Positive,1.0,0.3,0.55,126,Positive
1815,1815,9,Assembly line worker,2012-10-15,Former Employee,"Belvidere, IL",i am extremely grateful to chrysler llc as they are the reason i was able to continue my education and obtain an associates degree,"Lack of job security, strenuous on body.",0.5095,0.864,0.0,0.136,Positive,1.0,0.1875,0.8125,130,Positive
1814,1814,8,Maintenance / Production Unit Leader (BIW),2012-10-17,Former Employee,"Warren, MI","work day - managing, directing, coaching, and leading all maintenance and resistance welding activities within the assembly area supervised skilled trades, pipefitters, electricians, millwrights and weld repair, support and manage through others on production activities prepared emergency work orders, continuous improvement measures and world class manufacturing initiatives, and assisted in team building, planning, and prioritizing work and root cause analysis to solve problems actively drive the team's lean manufacturing processes ensuring work force allocation/coverage is appropriate for assigned area, monitoring the production to ensure timely continuous flow communicating with any ""next shift"" operationslearned - world class manufacturing (wcm) metrics, total maintenance system, factory information system, and corporate automated time systemmanagement - managing, directing, coaching, and leading all maintenance and resistance welding activities within the assembly area supervised skilled trades, pipefitters, electricians, millwrights and weld repairco-workers - skill trades are hard woking personnel that made every effort to keep production flowing production operatores had some the had enough skill to repair some of the break downs to maintain productionhardest part of the job - lots of walkingmost enjoyable part of job - the end product, no defects on producing over the projected production amount",Productive and enjoyed working with. Great learning experience,0.7717,0.849,0.057,0.094,Positive,1.0,0.1575,0.4491666666666666,1426,Positive
1813,1813,7,Lube Technician,2012-10-17,Former Employee,"Burleson, TX","serviced oil changes, recall work, plus going from bay to bay helping other mechanics",good place to work,0.296,0.855,0.0,0.145,Positive,1.0,-0.125,0.375,85,Neutral
1812,1812,6,Production Operator,2012-10-20,Former Employee,"Fenton, MO","i loved working for themhow to work on an assembly line, teamworkso sothe ten hour shiftsthe paycheck and putting out a good product",Excellent Company,0.7783,0.736,0.0,0.264,Positive,1.0,0.4666666666666666,0.46666666666666673,132,Positive
1811,1811,5,Assembler,2012-10-21,Former Employee,"Newark, DE","management can be bit of challenging,however the people you work with is your extended family","Great place to work, exciting and something new each day",0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,93,Negative
1810,1810,4,Welder/Fabricator,2012-10-22,Former Employee,"Fenton, MO","worked building trucks,learned what hard work was got along real well with my co-worker the hardest part of the job at chrysler was working long hours the most enjoyable was the freinds i made there","good benefits, enjoyed the job overall",0.5984,0.822,0.037,0.14,Positive,1.0,0.1716666666666667,0.4683333333333334,198,Positive
1808,1808,2,Service Cashier/ Receptionist,2012-10-23,Former Employee,"Franklin, TN",i worked from am to pm monday through saturday i took all payments for all service that was done on every vehicle i also handled all paperwork and down payments for new and used vehicles,Service Cashier...,0.0,1.0,0.0,0.0,Neutral,0.0,-0.009595959595959616,0.3717171717171717,186,Positive
1809,1809,3,Assembler,2012-10-23,Former Employee,"Fenton, MO",learning how to assemble pieces of a vehicle is very interestingi believe it teaches people how to be productive in there lives,assembly helps with productivity of life,0.0,1.0,0.0,0.0,Neutral,0.0,0.2,0.3,127,Positive
1807,1807,1,Assembler,2012-10-28,Former Employee,"St. Louis, MO",i gained a lot of experience and knowledge in the automobile field lots of hard work,Productive and fun place to work.,0.296,0.75,0.087,0.163,Positive,1.0,-0.2916666666666667,0.5416666666666666,84,Positive
1804,1804,19,Lead Software Engineer,2012-10-29,Current Employee,"Auburn Hills, MI","good, it could be a lot bettermanagement has a lot to improve",Overall it is a good company,0.7003,0.58,0.0,0.42,Positive,1.0,0.7,0.6000000000000001,61,Positive
1805,1805,20,Assembly Line Crew Chief,2012-10-29,Former Employee,"Trenton, MI","i performed administrative and managerial duties managed a team of employees responsible for coordinating employee work assignments, time cards, performance assessment, break relief, and recognition actions verified engine count daily to assure daily quota was met generated documents and reports daily to reflect the status of the assembly line using microsoft office suite",Assemlyline Crew Chief,0.7783,0.86,0.0,0.14,Positive,1.0,0.05,0.1375,374,Positive
1802,1802,17,Office Automation Rep,2012-10-30,Former Employee,"Auburn Hills, Michigan",responsible for supporting off site engineering locations technologymanagement was great and let you work independently but supported you when neededco-workers worked as a team and were supportive in helping with clientstrouble shooting difficult problemsworking with people and solving their technology problems,Great place to work,0.8402,0.558,0.122,0.32,Positive,1.0,0.20833333333333334,0.6124999999999999,312,Positive
1800,1800,15,Team Leader,2012-10-30,Former Employee,"Sterling Heights, MI",a typical work day was coming in two hours early to have our team meeting i learned how the shift before mines started what problems were going own what stock we had what was the daily total for the day,we had a gym at work,-0.4019,0.932,0.068,0.0,Neutral,-1.0,0.10666666666666666,0.51,202,Positive
1803,1803,18,Training Development & Delivery Support,2012-10-30,Former Employee,"Auburn Hills, MI","need to be able to learn and understand your environment on your ownmanagement expect you to have or gain the knowledge to understand and do an effective jobco-workers are supportive and helpful, but are concerned with their own work and self imagemaking sure that i learned and understood all the needs of the user in my department and did my best to ensure that needs were methelping individuals solve their technology problems",Good place to work need to be self starter,0.9481,0.707,0.041,0.252,Positive,1.0,0.6166666666666667,0.7689814814814814,429,Positive
1801,1801,16,Oerlikon Operator,2012-10-30,Former Employee,"Detorit, Michigan","assembly, leadership, testing, cutting, repair and informational",Productive,-0.128,0.8,0.2,0.0,Neutral,-1.0,-0.6,0.9,64,Positive
1799,1799,14,Administrative Assistant/ Analyst,2012-10-31,Former Employee,"Auburn Hills, MI",spent most of my career at chrysler and thoroughly enjoyed working there co-workers were fabulous! i learned various presentation techniques and they provided numerous computer training classes,"Team oriented, productive and great place to work.",0.8066,0.767,0.0,0.233,Positive,1.0,0.2333333333333333,0.5499999999999999,193,Negative
1798,1798,13,Change Specialist - Powertrain,2012-11-07,Current Employee,"Auburn Hills, MI","generally a good place to work with a decent work environment - but that really can vary from dept to dept frustrating to work there at times because of their highly proprietary systems and processes that being said, there are bound to be some growing pains as they merge with fiathardest part of the job is staying abreast complex processes that continue to change and evolve as company moves forward coworkers are a diverse group management often seems afraid of upper/executive mgt",Better for Direct Hires than Contractors,-0.6757,0.865,0.088,0.047,Positive,-1.0,-0.010476190476190481,0.600952380952381,484,Neutral
1797,1797,12,Tech II,2012-11-07,Former Employee,"Detroit, MI","pay and hours was just there is growth in the company the benefits was great however, i wish i could have stayed with them",Wonderful,0.891,0.559,0.046,0.395,Positive,1.0,0.8,0.75,122,Positive
1796,1796,11,Assembler/ Teamleader,2012-11-08,Former Employee,"Fort Wayne, IN",chrysler was a very fast paced company my experience that was exciting and knowledgeable you learned many different ways to put a truck together starting from the frame i wish that i could return there and work again,"Assembly line very productive, face paced a great place to work.",0.7096,0.844,0.0,0.156,Positive,1.0,0.21200000000000002,0.556,216,Negative
1795,1795,10,FIAT specialist/Marketing representative,2012-11-08,Current Employee,"Easton, PA","fun place to work, if you're self motivated managers don't really assign tasks, it's a lot of trial and error mainly you're the one to present ideas to management and the okay or deny it",Fun workplace when there is work,0.4767,0.686,0.121,0.194,Positive,1.0,0.2333333333333333,0.24666666666666667,186,Positive
1794,1794,9,Repairman/Quality-Environmental coordinator,2012-11-10,Former Employee,Detroit Michigan,built vipers and prowlers family type environment lead in the establishment of iso ,Fun place to work,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,83,Positive
1793,1793,8,line worker,2012-11-13,Former Employee,"Fenton, MO",good moneybad everything else they treat their employees like robots- hours a week sometimes they dont care if you have personal issues or a family as long as the production is done then when you need help from the union they act as though they dont know you unless you have family there or are doing one of the bosses then youre pretty well on your own,sucked,0.9095,0.756,0.034,0.21,Positive,1.0,0.3,0.66,353,Positive
1792,1792,7,"Housekeeping, Grounds, Ship / Rec",2012-11-14,Former Employee,detroit,"made alot of friends, new customers, managed fte, supervisors","great culture, secure job for 14 yrs",0.4767,0.721,0.0,0.279,Positive,1.0,0.13636363636363635,0.45454545454545453,61,Neutral
1790,1790,5,Vacation Replacement Assembly Line Worker Seasonal,2012-11-16,Former Employee,"Detroit, MI",a typical work day consisted of installing the interiors for dashboards and also installing battery brackets management and co-workers were friendly and nice to work with hardest part of the the job was the drive there i loved the job and appreciated working in a modern and clean environment,Chrysler was a great place to work and I learned much about assembly line profession.,0.9423,0.721,0.0,0.279,Positive,1.0,0.325,0.5571428571428572,292,Positive
1791,1791,6,Quality Control Inspector,2012-11-16,Former Employee,"Twinsburg, OH",the participation and safety of coworkers is an essential part of the production shift in each manufacturing department the clarity of the product is demonstrated in workmanship the normal standard is the participation of all employees,"Wellness Center, Educational and computer Center",0.6705,0.861,0.0,0.139,Positive,1.0,0.049999999999999996,0.31666666666666665,235,Negative
1789,1789,4,Peener,2012-11-18,Former Employee,"East Syracuse, NY","it was a great place to work at,many different departments to work in,so there was always something to learn worked on the quality action team,finding problems that could affect the gears and transmissions quality and performance i also taught work place violence prevention at the uaw training center,was plant chaplain for a two year term and on the chaplain's committee over yrs","It was an exciting place to work at if you like noise,dirt,grease, smoke in a factory",-0.4019,0.837,0.102,0.061,Positive,-1.0,0.3,0.4833333333333334,381,Positive
1788,1788,3,Grill Cook,2012-11-24,Former Employee,"indianapolis, folded","enjoy cooking for breakfast, lunch, and dinner in the cafeteria",customer service,0.4939,0.738,0.0,0.262,Positive,1.0,0.4,0.5,63,Positive
1787,1787,2,SR. SOFTWARE ENGINEER,2012-11-26,Current Employee,"Auburn Hills, MI",excellent work environment management is great steady hours,Excellent work environment.,0.8316,0.435,0.0,0.565,Positive,1.0,0.6555555555555556,0.75,59,Positive
1786,1786,1,CUSTOMER SERVICE RESPRESENTATIVE,2012-11-29,Former Employee,"Lisle, IL",i enjoyed customer service being able to help in all area's of the department working with both the customers and our clients,Friendly atmosphere,0.7184,0.76,0.0,0.24,Positive,1.0,0.5,0.6625,125,Positive
1784,1784,20,Paint shop laborer,2012-12-03,Former Employee,"Marysville, MI","i worked assembly line , adding, and removing parts for ditribution through out north america , and canada i also drove hilo, removing parts packaged for delivery to shipping staging areas",manufacturing facility,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,188,Positive
1783,1783,19,Maintenance Pipefitter,2012-12-03,Former Employee,"Sterling Heights, MI","worked nearly years doing maintenance on assembly line maintenance people seam to think they have more job security when the line does not run i personally was able to increase production by over vehicles per day that comes out to an extra $,, a day increase in productivity that shows a loss of approx ,,, for just year one might assume they could show the loss for yearsthat is using a base charge of , per vehicle and a day year subsequently an electrician slipped me a mickey and i allmost died no one seamed to care so i took the buyout and left",A Backward Company,0.0202,0.806,0.096,0.097,Positive,0.0,0.037500000000000006,0.37187499999999996,550,Positive
1782,1782,18,Warranty Administrator and Dispatcher,2012-12-06,Former Employee,"Dayton, NJ",my experience at chrysler was great i was able to work and train at same time i had great repore with the mechanics also,Chrysler was a great experience. I was hired by a great boss that took me under his wing and showed me the ropes.,0.8481,0.709,0.0,0.291,Positive,1.0,0.525,0.5625,120,Positive
